GEOID,Above75_WholeNum,Above75_WhiteNum,Above75_NHWhiteNum,Above75_BlackNum,Above75_NHBlackNum,Above75_WholeRate,Above75_WhiteRate,Above75_NHWhiteRate,Above75_BlackRate,Above75_NHBlackRate,Above65_WholeNum,Above65_WhiteNum,Above65_NHWhiteNum,Above65_BlackNum,Above65_NHBlackNum,Above65_WholeRate,Above65_WhiteRate,Above65_NHWhiteRate,Above65_BlackRate,Above65_NHBlackRate,Above15_WholeNum,Above15_WhiteNum,Above15_NHWhiteNum,Above15_BlackNum,Above15_NHBlackNum,Above15_WholeRate,Above15_WhiteRate,Above15_NHWhiteRate,Above15_BlackRate,Above15_NHBlackRate,Above20_WholeNum,Above20_WhiteNum,Above20_NHWhiteNum,Above20_BlackNum,Above20_NHBlackNum,Above20_WholeRate,Above20_WhiteRate,Above20_NHWhiteRate,Above20_BlackRate,Above20_NHBlackRate,A20T74_WholeNum,A20T74_WhiteNum,A20T74_NHWhiteNum,A20T74_BlackNum,A20T74_NHBlackNum,A20T74_WholeRate,A20T74_WhiteRate,A20T74_NHWhiteRate,A20T74_BlackRate,A20T74_NHBlackRate,A15T74_WholeNum,A15T74_WhiteNum,A15T74_NHWhiteNum,A15T74_BlackNum,A15T74_NHBlackNum,A15T74_WholeRate,A15T74_WhiteRate,A15T74_NHWhiteRate,A15T74_BlackRate,A15T74_NHBlackRate
01001,3911,3358,3303,471,468,7.0003042832339935,7.881334053089868,8.014072546403009,4.191510189552371,4.216976031717427,8924,7466,7368,1272,1263,15.97307988329843,17.522942239538104,17.876986534028873,11.319747263504494,11.38042890610921,45276,34972,33972,8938,8833,81.03957471943296,82.08040932241181,82.426301103967,79.5408027053484,79.59091728239322,41617,32297,31409,8104,8007,74.49032558306037,75.80209824676696,76.20769137449957,72.11889294295631,72.14813479906289,37706,28939,28106,7633,7539,67.49002129982638,67.9207641936771,68.19361882809658,67.92738275340393,67.93115876734547,41365,31614,30669,8467,8365,74.03927043619896,74.19907526932195,74.41222855756399,75.34929251579602,75.3739412506758
01003,18786,17643,17453,840,832,8.415384753218595,9.03851473888052,9.396114069137052,4.287245444801715,4.329950559458756,46830,43596,42993,2358,2337,20.977987224168363,22.334245227922416,23.145999666212642,12.034910427193385,12.162373145979704,184050,162563,156091,15556,15269,82.44711827051435,83.28107869957684,84.03419705298066,79.39570254682795,79.463960447567,170966,151752,146007,14074,13802,76.58600392413342,77.74259982171948,78.60530721895913,71.83177665492778,71.82930002602134,152180,134109,128554,13234,12970,68.17061917091482,68.70408508283896,69.20919314982207,67.54453121012607,67.49934946656259,165264,144920,138638,14716,14437,74.03173351729575,74.24256396069632,74.63808298384362,75.10845710202624,75.13400988810824
01005,1995,1327,1313,635,631,8.081503686299927,10.93621229602769,11.68669336893636,5.333445321686544,5.344287287202508,4861,3019,2984,1765,1756,19.69132301709471,24.880501071369704,26.55985758789497,14.824458256341341,14.872533242991445,20493,10362,9807,9666,9598,83.01466418212752,85.39640679083567,87.28971962616822,81.1859566605073,81.29075971881088,19091,9753,9270,8911,8848,77.33533176699345,80.37745178836327,82.51001335113484,74.84461615991937,74.93859574828492,17096,8426,7957,8276,8217,69.25382808069351,69.44123949233558,70.82331998219848,69.51117083823283,69.5943084610824,18498,9035,8494,9031,8967,74.9331604958276,74.46019449480798,75.60302625723186,75.85251133882076,75.94647243160837
01007,1547,1344,1330,178,176,6.908100384031438,7.818044325519168,7.98175598631699,3.73714045769473,3.7296037296037294,3733,3199,3143,479,477,16.669643654550327,18.6085742539701,18.862149672928044,10.05668696199874,10.10807374443738,18681,14332,13911,4063,4035,83.41966598195945,83.36920481647374,83.48436656064334,85.30338022254882,85.50540368722187,17402,13331,12932,3812,3791,77.70831472715905,77.54639055319645,77.60907399627918,80.03359227377703,80.33481669845305,15855,11987,11602,3634,3615,70.80021434312762,69.72834622767728,69.6273180099622,76.2964518160823,76.60521296884933,17134,12988,12581,3885,3859,76.51156559792803,75.55116049095457,75.50261057432635,81.56623976485409,81.77579995761815
01009,4465,4334,4231,48,47,7.721440182616816,7.821410524796073,8.432318239795919,4.9079754601226995,5.389908256880735,10814,10467,10196,144,136,18.700930377338914,18.889410236049955,20.320471938775512,14.723926380368098,15.59633027522936,46891,45138,41570,761,684,81.08982118770103,81.4588897711687,82.8483737244898,77.8118609406953,78.44036697247707,43304,41761,38683,684,617,74.88672915297617,75.3645419764672,77.0946269132653,69.93865030674846,70.75688073394495,38839,37427,34452,636,570,67.16528897035936,67.54313145167113,68.66230867346938,65.03067484662577,65.36697247706422,42426,40804,37339,713,637,73.36838100508422,73.63747924637264,74.41605548469387,72.9038854805726,73.05045871559633
01011,714,266,260,441,434,7.0686070686070686,9.892153216809223,12.258368694012258,6.213893194307453,6.219547148179994,1711,592,578,1093,1083,16.93891693891694,22.015619189289698,27.25129655822725,15.400873608567,15.520206362854685,8307,2282,1950,5810,5716,82.23938223938224,84.86426180736333,91.93776520509194,81.86557700436803,81.91458870736601,7786,2180,1889,5422,5339,77.08147708147708,81.07103012272219,89.06176331918905,76.39847823023813,76.51189452565205,7072,1914,1629,4981,4905,70.01287001287001,71.17887690591299,76.80339462517681,70.18458503593068,70.29234737747205,7593,2016,1690,5369,5282,75.17077517077517,74.97210859055411,79.67939651107969,75.65168381006059,75.69504155918601
01013,1804,1202,1191,571,569,9.276018099547512,11.869260393008789,11.985508704840495,6.527952440836858,6.555299539170507,4049,2573,2557,1394,1386,20.819621554915674,25.407326947763405,25.732112307537484,15.936892648908197,15.96774193548387,15905,8497,8367,6975,6925,81.78218839983545,83.90441394292485,84.20046291637316,79.74162570024008,79.7811059907834,14756,8050,7930,6311,6265,75.87412587412588,79.49047101807051,79.80275737144007,72.15045158340003,72.17741935483872,12952,6848,6739,5740,5696,66.59810777457837,67.6212106250617,67.81724866659957,65.62249914256316,65.6221198156682,14101,7295,7176,6404,6356,72.50617030028795,72.03515354991606,72.21495421153266,73.21367325940322,73.22580645161291
01015,8247,7056,6960,997,991,7.2593635843492805,8.269848339232553,8.54365118334479,4.11762276463057,4.154265353175434,20547,17074,16870,2970,2945,18.086351833105937,20.011251494339092,20.70853383089463,12.266138025027876,12.345420247327604,93487,71420,68830,19327,19062,82.29127239117997,83.70642976020252,84.4913090444859,79.82075744434808,79.90777614755817,86057,66316,64116,17317,17090,75.7510672945733,77.72438526991866,78.7047039182952,71.51943171023831,71.6411653741354,77810,59260,57156,16320,16099,68.49170371022402,69.4545369306861,70.1610527349504,67.40180894560773,67.48690002095996,85240,64364,61870,18330,18071,75.03190880683069,75.43658142096997,75.94765786114111,75.70313467971751,75.75351079438273
01017,2804,1963,1943,793,789,8.432068322607806,10.347917764891934,10.59953084938083,5.933408155630378,5.963268082533444,6715,4540,4508,2070,2060,20.193059481566127,23.93252503953611,24.592220828105397,15.488215488215488,15.569495880885798,27480,16007,15659,10784,10693,82.6366752871835,84.38060094886663,85.4235993671922,80.68836513280958,80.81777643413196,25662,15040,14744,9984,9903,77.16966379984362,79.28307854507116,80.43205498881676,74.70258136924804,74.84695034388935,22858,13077,12801,9191,9114,68.73759547723583,68.93516078017923,69.83252413943592,68.76917321361766,68.8836822613559,24676,14044,13716,9991,9904,74.20460696457569,74.0326831839747,74.82406851781136,74.7549569771792,74.85450835159851
01019,2557,2418,2401,76,76,9.761032218659338,9.90618214592978,9.998334304988758,7.082945013979497,7.109448082319925,6164,5800,5764,227,227,23.530309970987936,23.761727231758776,24.00266511201799,21.155638397017707,21.234798877455567,22170,20728,20452,924,924,84.63124141090242,84.9194969068786,85.16698592487715,86.11369990680335,86.43592142188962,20697,19403,19173,845,845,79.00824553366927,79.49117128927854,79.84092612642625,78.75116495806151,79.04583723105706,18140,16985,16772,769,769,69.24721331500993,69.58498914334876,69.8425918214375,71.66821994408201,71.93638914873713,19613,18310,18051,848,848,74.87020919224308,75.01331476094883,75.1686516198884,79.03075489282386,79.32647333956969
