GEOID,state,county,percent_new_test_results_reported_positive_7_day_rolling_average
6001,CA,Alameda County,8.95
6003,CA,Alpine County,0.0
6005,CA,Amador County,0.0
6007,CA,Butte County,1.43
6009,CA,Calaveras County,0.0
6011,CA,Colusa County,0.0
6013,CA,Contra Costa County,7.28
6015,CA,Del Norte County,0.0
6017,CA,El Dorado County,2.26
6019,CA,Fresno County,15.62
6021,CA,Glenn County,0.0
6023,CA,Humboldt County,0.87
6025,CA,Imperial County,23.87
6027,CA,Inyo County,0.0
6029,CA,Kern County,10.03
6031,CA,Kings County,11.52
6033,CA,Lake County,2.98
6035,CA,Lassen County,0.0
6037,CA,Los Angeles County,12.29
6039,CA,Madera County,4.1
6041,CA,Marin County,5.49
6043,CA,Mariposa County,0.0
6045,CA,Mendocino County,0.0
6047,CA,Merced County,7.6
6049,CA,Modoc County,0.0
6051,CA,Mono County,0.0
6053,CA,Monterey County,15.2
6055,CA,Napa County,7.6
6057,CA,Nevada County,0.51
6059,CA,Orange County,10.22
6061,CA,Placer County,1.65
6063,CA,Plumas County,0.0
6065,CA,Riverside County,12.64
6067,CA,Sacramento County,4.8
6069,CA,San Benito County,4.15
6071,CA,San Bernardino County,12.04
6073,CA,San Diego County,9.57
6075,CA,San Francisco County,8.54
6077,CA,San Joaquin County,10.31
6079,CA,San Luis Obispo County,2.09
6081,CA,San Mateo County,10.6
6083,CA,Santa Barbara County,10.67
6085,CA,Santa Clara County,8.67
6087,CA,Santa Cruz County,3.79
6089,CA,Shasta County,0.9500000000000001
6091,CA,Sierra County,0.0
6093,CA,Siskiyou County,0.0
6095,CA,Solano County,7.12
6097,CA,Sonoma County,4.8
6099,CA,Stanislaus County,8.21
6101,CA,Sutter County,1.6400000000000001
6103,CA,Tehama County,0.0
6105,CA,Trinity County,0.0
6107,CA,Tulare County,13.86
6109,CA,Tuolumne County,0.0
6111,CA,Ventura County,8.01
6113,CA,Yolo County,10.86
6115,CA,Yuba County,0.51
17001,IL,Adams County,6.01
17003,IL,Alexander County,5.0
17005,IL,Bond County,0.0
17007,IL,Boone County,15.31
17009,IL,Brown County,0.0
17011,IL,Bureau County,7.27
17013,IL,Calhoun County,0.0
17015,IL,Carroll County,3.33
17017,IL,Cass County,8.33
17019,IL,Champaign County,2.5700000000000003
17021,IL,Christian County,11.64
17023,IL,Clark County,0.0
17025,IL,Clay County,7.14
17027,IL,Clinton County,25.83
17029,IL,Coles County,3.6
17031,IL,Cook County,27.43
17033,IL,Crawford County,1.3
17035,IL,Cumberland County,0.0
17039,IL,De Witt County,0.0
17037,IL,DeKalb County,7.12
17041,IL,Douglas County,20.63
17043,IL,DuPage County,24.28
17045,IL,Edgar County,0.0
17047,IL,Edwards County,0.0
17049,IL,Effingham County,7.14
17051,IL,Fayette County,24.21
17053,IL,Ford County,4.76
17055,IL,Franklin County,2.3
17057,IL,Fulton County,0.0
17059,IL,Gallatin County,0.0
17061,IL,Greene County,0.0
17063,IL,Grundy County,5.94
17065,IL,Hamilton County,0.0
17067,IL,Hancock County,3.75
17069,IL,Hardin County,0.0
17071,IL,Henderson County,0.0
17073,IL,Henry County,7.53
17075,IL,Iroquois County,6.55
17077,IL,Jackson County,8.82
17079,IL,Jasper County,55.15
17081,IL,Jefferson County,15.41
17083,IL,Jersey County,24.14
17085,IL,Jo Daviess County,8.33
17087,IL,Johnson County,12.5
17089,IL,Kane County,27.42
17091,IL,Kankakee County,17.64
17093,IL,Kendall County,10.75
17095,IL,Knox County,14.2
17097,IL,Lake County,29.07
17099,IL,LaSalle County,9.97
17101,IL,Lawrence County,0.0
17103,IL,Lee County,7.86
17105,IL,Livingston County,1.19
17107,IL,Logan County,0.0
17115,IL,Macon County,12.97
17117,IL,Macoupin County,5.05
17119,IL,Madison County,19.8
17121,IL,Marion County,7.39
17123,IL,Marshall County,5.95
17125,IL,Mason County,16.67
17127,IL,Massac County,0.0
17109,IL,McDonough County,3.5700000000000003
17111,IL,McHenry County,19.64
17113,IL,McLean County,2.8
17129,IL,Menard County,16.09
17131,IL,Mercer County,7.14
17133,IL,Monroe County,24.76
17135,IL,Montgomery County,11.27
17137,IL,Morgan County,2.86
17139,IL,Moultrie County,0.0
17141,IL,Ogle County,32.08
17143,IL,Peoria County,6.27
17145,IL,Perry County,0.0
17147,IL,Piatt County,1.3
17149,IL,Pike County,5.5600000000000005
17151,IL,Pope County,0.0
17153,IL,Pulaski County,33.33
17155,IL,Putnam County,0.0
17157,IL,Randolph County,19.31
17159,IL,Richland County,6.67
17161,IL,Rock Island County,28.45
17165,IL,Saline County,0.0
17167,IL,Sangamon County,5.06
17169,IL,Schuyler County,0.0
17171,IL,Scott County,0.0
17173,IL,Shelby County,0.0
17163,IL,St. Clair County,16.87
17175,IL,Stark County,0.0
17177,IL,Stephenson County,13.01
17179,IL,Tazewell County,9.72
17181,IL,Union County,10.17
17183,IL,Vermilion County,2.15
17185,IL,Wabash County,0.0
17187,IL,Warren County,27.78
17189,IL,Washington County,33.33
17191,IL,Wayne County,8.89
17193,IL,White County,8.33
17195,IL,Whiteside County,13.63
17197,IL,Will County,23.31
17199,IL,Williamson County,5.2
17201,IL,Winnebago County,21.54
17203,IL,Woodford County,5.24
18001,IN,Adams County,1.32
18003,IN,Allen County,17.14
18005,IN,Bartholomew County,15.43
18007,IN,Benton County,15.73
18009,IN,Blackford County,17.74
18011,IN,Boone County,14.81
18013,IN,Brown County,3.35
18015,IN,Carroll County,3.7199999999999998
18017,IN,Cass County,38.13
18019,IN,Clark County,12.23
18021,IN,Clay County,11.05
18023,IN,Clinton County,9.72
18025,IN,Crawford County,2.38
18027,IN,Daviess County,26.05
18029,IN,Dearborn County,22.5
18031,IN,Decatur County,29.82
18033,IN,DeKalb County,7.94
18035,IN,Delaware County,13.7
18037,IN,Dubois County,3.61
18039,IN,Elkhart County,27.18
18041,IN,Fayette County,22.31
18043,IN,Floyd County,9.63
18045,IN,Fountain County,10.91
18047,IN,Franklin County,33.96
18049,IN,Fulton County,5.83
18051,IN,Gibson County,3.47
18053,IN,Grant County,10.37
18055,IN,Greene County,8.97
18057,IN,Hamilton County,18.0
18059,IN,Hancock County,11.53
18061,IN,Harrison County,23.63
18063,IN,Hendricks County,31.57
18065,IN,Henry County,5.57
18067,IN,Howard County,7.86
18069,IN,Huntington County,0.79
18071,IN,Jackson County,14.8
18073,IN,Jasper County,3.75
18075,IN,Jay County,12.22
18077,IN,Jefferson County,2.83
18079,IN,Jennings County,11.15
18081,IN,Johnson County,22.13
18083,IN,Knox County,1.96
18085,IN,Kosciusko County,2.79
18087,IN,LaGrange County,9.49
18089,IN,Lake County,22.51
18091,IN,LaPorte County,22.22
18093,IN,Lawrence County,11.75
18095,IN,Madison County,20.81
18097,IN,Marion County,22.61
18099,IN,Marshall County,8.83
18101,IN,Martin County,21.33
18103,IN,Miami County,12.14
18105,IN,Monroe County,14.79
18107,IN,Montgomery County,2.2
18109,IN,Morgan County,12.56
18111,IN,Newton County,8.97
18113,IN,Noble County,29.08
18115,IN,Ohio County,0.0
18117,IN,Orange County,36.93
18119,IN,Owen County,2.04
18121,IN,Parke County,7.12
18123,IN,Perry County,18.52
18125,IN,Pike County,0.0
18127,IN,Porter County,19.88
18129,IN,Posey County,2.7800000000000002
18131,IN,Pulaski County,0.0
18133,IN,Putnam County,9.65
18135,IN,Randolph County,1.5899999999999999
18137,IN,Ripley County,10.95
18139,IN,Rush County,12.36
18143,IN,Scott County,12.01
18145,IN,Shelby County,20.94
18147,IN,Spencer County,2.86
18141,IN,St. Joseph County,16.59
18149,IN,Starke County,6.43
18151,IN,Steuben County,17.91
18153,IN,Sullivan County,5.03
18155,IN,Switzerland County,7.14
18157,IN,Tippecanoe County,3.76
18159,IN,Tipton County,11.9
18161,IN,Union County,6.67
18163,IN,Vanderburgh County,7.07
18165,IN,Vermillion County,15.87
18167,IN,Vigo County,9.48
18169,IN,Wabash County,10.71
18171,IN,Warren County,23.33
18173,IN,Warrick County,9.74
18175,IN,Washington County,7.25
18177,IN,Wayne County,10.91
18179,IN,Wells County,10.0
18181,IN,White County,10.43
18183,IN,Whitley County,4.34
23001,ME,Androscoggin County,2.95
